F42B33/004	｛回転可能な砲塔型の薬包装てん機｝
F42B33/005	｛薬きょうを発射体上に圧着するもの｝
F42B33/007	｛爆発性または推進性装薬に空洞をつくるもの｝
F42B33/008	｛爆発性または推進性装薬を切断するもの｝
F42B33/02	薬包，砲弾または信管の組み立て；推進薬または爆薬の装填　｛（Ｆ４２Ｂ３３／００４が優先）｝
F42B33/0207	｛容器に推進性または爆発性装薬を装てんまたは充填するための工程｝
F42B33/0214	｛鋳物によるもの（Ｆ４２Ｂ３３／００４が優先）｝
F42B33/0221	｛遠心鋳物によるもの｝
F42B33/0228	｛そのための漏斗装置｝
F42B33/0235	｛装てん工程の間の鋳造設備または装薬容器の加熱｝
F42B33/0242	｛加圧鋳込みによるもの｝
F42B33/025	｛圧縮によるもの（Ｆ４２Ｂ３３／００４が優先）｝
F42B33/0257	｛振動圧縮によるもの｝
F42B33/0264	｛ねじ形供給装置を用いることによるもの（Ｆ４２Ｂ３３／００４が優先）｝
F42B33/0271	｛爆破薬包を圧伸することによるもの｝
F42B33/0278	｛そのための保安装置（Ｆ４２Ｂ３３／００４が優先）｝
F42B33/0285	｛容器または薬きょうにおける装薬のレベルを測定するもの；供給または充填される材料の量を制御するための方法または装置（Ｆ４２Ｂ３３／００４が優先；包装の際供給される材料の量を制御するものＢ６５Ｂ３／２６）｝
F42B33/0292	｛体積測定によるもの，すなわち充填前に決定される材料の体積｝
F42B33/04	信管または装薬の中へ，または中から，の火管の装着または取り外し　｛（Ｆ４２Ｂ３３／００４が優先）｝
